Age_Group,Gender,Emirate,Occupation,Income,Family_Size,Education,Purchase_Location,Purchase_Frequency,Products_Bought,Monthly_Spending_Range,Uses_Eco_Products,Preferred_Packaging,Importance_Convenience,Importance_Price,Importance_Sustainability,Aware_Plastic_Ban,Reduce_Waste_Score,Eco_Brand_Preference,Follow_Campaigns,Social_Influence_Score,Used_Refill_Before,Try_Refill_Likelihood,Preferred_Payment_Mode,Refill_Location,Container_Type,Refill_Combos,Preferred_Scents,Interest_Non_Liquids,Discount_Switch,Willingness_to_Pay_AED,Usage_Frequency,Likely_to_Use_ReFillHub
18-24,Male,Ajman,Professional,20000-40000,5+,Postgraduate,Online,Weekly,"Cooking Oil, Shampoo, Sanitizer, Detergent, Conditioner",100-200,Occasionally,Biodegradable,4,4,5,Yes,3,5,Yes,4,No,4,Mobile App,Residential Lobbies,Buy branded bottle once,"Shampoo + Conditioner, Hand Wash + Sanitizer, Surface Cleaner + Air Freshener","Floral, Fresh Linen, Herbal",Maybe,5-10%,124.98,Weekly,Yes
18-24,Male,Abu Dhabi,Other,10000-20000,3-4,Undergraduate,Online,Bi-weekly,"Surface Cleaner, Hand Wash, Detergent, Cooking Oil",200-400,No,Biodegradable,5,2,3,No,4,4,No,3,No,4,Cash,Malls,Bring my own,"Surface Cleaner + Air Freshener, Shampoo + Conditioner","Citrus, Floral, Fresh Linen",No,10-20%,74.51,Weekly,No
35-44,Male,Abu Dhabi,Professional,>40000,5+,Undergraduate,Online,Monthly,"Detergent, Hand Wash, Shampoo, Body Wash",200-400,Occasionally,Plastic,5,4,5,Yes,2,3,No,3,No,3,Subscription,Supermarkets,Bring my own,"Cooking Oil + Vinegar, Surface Cleaner + Air Freshener","Herbal, Unscented, Floral",Yes,>20%,205.08,Once,No
35-44,Male,Dubai,Student,<5000,3-4,Postgraduate,Supermarket,Monthly,"Fabric Softener, Hand Wash, Surface Cleaner",200-400,Yes,Plastic,5,4,4,Yes,5,4,Yes,4,Yes,5,Card,Supermarkets,Use disposable option,"Detergent + Fabric Softener, Hand Wash + Sanitizer, Shampoo + Conditioner","Unscented, Herbal",Yes,>20%,13.96,Weekly,Yes
35-44,Female,Dubai,Entrepreneur,<5000,3-4,Undergraduate,Supermarket,Bi-weekly,"Fabric Softener, Surface Cleaner, Sanitizer, Cooking Oil, Detergent",<50,Yes,No preference,3,4,5,Yes,2,5,No,4,No,5,Card,Petrol Stations,Use disposable option,"Hand Wash + Sanitizer, Detergent + Fabric Softener","Citrus, Floral, Unscented",Maybe,10-20%,32.86,Weekly,Yes
35-44,Male,Dubai,Entrepreneur,20000-40000,1-2,Postgraduate,Online,Bi-weekly,"Sanitizer, Fabric Softener, Body Wash, Surface Cleaner, Conditioner",>400,No,Biodegradable,4,2,5,Yes,2,2,Yes,1,No,2,Card,Residential Lobbies,Buy branded bottle once,"Detergent + Fabric Softener, Cooking Oil + Vinegar","Citrus, Unscented",Maybe,10-20%,123.71,More than 4x,No
55+,Female,Dubai,Professional,20000-40000,3-4,Undergraduate,Supermarket,Weekly,"Cooking Oil, Body Wash, Sanitizer, Conditioner, Surface Cleaner",200-400,Yes,Biodegradable,3,4,4,Yes,2,4,Yes,4,No,4,Mobile App,Supermarkets,Buy branded bottle once,"Hand Wash + Sanitizer, Surface Cleaner + Air Freshener, Detergent + Fabric Softener","Unscented, Floral, Fresh Linen",Maybe,<5%,120.85,Weekly,Yes
35-44,Female,Abu Dhabi,Homemaker,<5000,3-4,Undergraduate,Hypermarket,Bi-weekly,"Sanitizer, Conditioner, Fabric Softener, Hand Wash",>400,Yes,Biodegradable,4,5,5,Yes,3,3,No,1,No,5,Cash,Supermarkets,Buy branded bottle once,"Cooking Oil + Vinegar, Shampoo + Conditioner","Herbal, Fresh Linen",Yes,10-20%,23.21,Once,No
25-34,Male,Abu Dhabi,Other,5000-10000,1-2,Undergraduate,Supermarket,Weekly,"Conditioner, Shampoo, Cooking Oil, Fabric Softener",<50,No,Glass,4,4,3,Yes,4,2,No,1,No,5,Mobile App,Gyms,Buy branded bottle once,"Surface Cleaner + Air Freshener, Cooking Oil + Vinegar","Unscented, Citrus",No,>20%,52.31,Twice,Yes
45-54,Male,Abu Dhabi,Professional,<5000,3-4,Undergraduate,Online,Monthly,"Shampoo, Sanitizer, Fabric Softener, Cooking Oil, Hand Wash",>400,Yes,Aluminum,3,3,5,Yes,5,4,Yes,1,No,5,Mobile App,Gyms,Bring my own,"Shampoo + Conditioner, Surface Cleaner + Air Freshener","Citrus, Unscented",Yes,10-20%,22.26,Twice,No
25-34,Male,Sharjah,Other,5000-10000,3-4,Undergraduate,Local Store,Quarterly,"Cooking Oil, Conditioner, Sanitizer, Body Wash",200-400,Yes,Glass,3,3,3,Yes,3,5,Yes,1,Yes,5,Subscription,Residential Lobbies,Bring my own,"Detergent + Fabric Softener, Shampoo + Conditioner","Citrus, Floral, Herbal",Yes,10-20%,46.76,Once,Yes
25-34,Female,Sharjah,Student,20000-40000,3-4,High School,Supermarket,Quarterly,"Surface Cleaner, Fabric Softener, Hand Wash, Detergent",200-400,No,Plastic,4,5,3,Yes,2,5,Yes,2,Yes,3,Subscription,Supermarkets,Buy branded bottle once,"Surface Cleaner + Air Freshener, Hand Wash + Sanitizer","Fresh Linen, Unscented",Yes,5-10%,137.89,Weekly,No
18-24,Male,Sharjah,Professional,10000-20000,3-4,Undergraduate,Online,Monthly,"Hand Wash, Cooking Oil, Fabric Softener, Detergent",<50,No,Biodegradable,4,4,3,Yes,5,5,Yes,3,No,4,Card,Malls,Bring my own,"Hand Wash + Sanitizer, Cooking Oil + Vinegar","Herbal, Floral",No,10-20%,59.13,More than 4x,No
18-24,Female,Others,Student,5000-10000,3-4,High School,Supermarket,Monthly,"Fabric Softener, Conditioner, Surface Cleaner, Sanitizer, Detergent",200-400,Occasionally,Glass,4,3,4,Yes,2,4,Yes,1,No,5,Cash,Supermarkets,Bring my own,"Shampoo + Conditioner, Hand Wash + Sanitizer, Surface Cleaner + Air Freshener","Unscented, Herbal",Yes,10-20%,34.34,Weekly,Yes
55+,Male,Dubai,Homemaker,5000-10000,1-2,Doctorate,Hypermarket,Monthly,"Surface Cleaner, Shampoo, Hand Wash, Detergent",>400,No,Aluminum,5,4,5,Yes,2,5,Yes,3,Yes,5,Mobile App,Residential Lobbies,Buy branded bottle once,"Surface Cleaner + Air Freshener, Detergent + Fabric Softener","Herbal, Floral, Citrus",Maybe,10-20%,57.82,Weekly,Yes
45-54,Female,Dubai,Entrepreneur,<5000,1-2,Doctorate,Online,Bi-weekly,"Shampoo, Cooking Oil, Surface Cleaner",100-200,No,Glass,4,3,3,No,2,4,Yes,1,No,5,Card,Malls,Buy branded bottle once,"Hand Wash + Sanitizer, Surface Cleaner + Air Freshener","Unscented, Citrus, Fresh Linen",Yes,<5%,12.8,Weekly,No
35-44,Male,Dubai,Student,5000-10000,3-4,Undergraduate,Online,Monthly,"Conditioner, Surface Cleaner, Body Wash, Hand Wash",100-200,Occasionally,Glass,3,2,3,Yes,5,3,Yes,3,No,5,Mobile App,Residential Lobbies,Use disposable option,"Shampoo + Conditioner, Detergent + Fabric Softener, Cooking Oil + Vinegar","Unscented, Fresh Linen",Yes,10-20%,29.96,More than 4x,No
25-34,Male,Abu Dhabi,Professional,10000-20000,3-4,Postgraduate,Online,Bi-weekly,"Cooking Oil, Detergent, Conditioner",>400,Occasionally,Plastic,3,2,5,Yes,4,3,Yes,4,No,2,Card,Malls,Buy branded bottle once,"Hand Wash + Sanitizer, Detergent + Fabric Softener","Herbal, Fresh Linen",Yes,10-20%,85.14,Twice,No
25-34,Female,Ajman,Professional,>40000,1-2,Undergraduate,Local Store,Bi-weekly,"Body Wash, Cooking Oil, Sanitizer, Surface Cleaner, Conditioner",100-200,Yes,Plastic,3,5,4,Yes,2,4,No,4,Yes,5,Card,Gyms,Use disposable option,"Surface Cleaner + Air Freshener, Cooking Oil + Vinegar, Detergent + Fabric Softener","Floral, Unscented",Yes,5-10%,212.6,Weekly,Yes
25-34,Female,Dubai,Student,20000-40000,5+,Postgraduate,Supermarket,Monthly,"Surface Cleaner, Fabric Softener, Body Wash, Sanitizer",100-200,Yes,Plastic,4,5,4,No,4,4,No,3,No,5,Mobile App,Malls,Bring my own,"Detergent + Fabric Softener, Shampoo + Conditioner, Hand Wash + Sanitizer","Floral, Citrus",Yes,5-10%,106.92,More than 4x,No
25-34,Male,Ajman,Homemaker,<5000,3-4,Postgraduate,Supermarket,Bi-weekly,"Hand Wash, Detergent, Sanitizer",100-200,No,Plastic,4,4,3,No,5,2,Yes,1,No,5,Mobile App,Residential Lobbies,Buy branded bottle once,"Shampoo + Conditioner, Surface Cleaner + Air Freshener","Floral, Herbal",Yes,5-10%,10.0,Twice,No
35-44,Female,Dubai,Homemaker,20000-40000,3-4,Postgraduate,Local Store,Bi-weekly,"Fabric Softener, Shampoo, Surface Cleaner, Sanitizer",>400,No,No preference,5,5,4,Yes,5,5,Yes,2,Yes,2,Mobile App,Supermarkets,Bring my own,"Surface Cleaner + Air Freshener, Hand Wash + Sanitizer, Detergent + Fabric Softener","Fresh Linen, Herbal, Unscented",Yes,10-20%,107.81,Twice,Yes
35-44,Female,Ajman,Professional,20000-40000,1-2,Undergraduate,Online,Quarterly,"Cooking Oil, Conditioner, Body Wash, Fabric Softener, Sanitizer",<50,Occasionally,Plastic,5,4,5,Yes,2,3,Yes,3,No,3,Mobile App,Supermarkets,Bring my own,"Detergent + Fabric Softener, Cooking Oil + Vinegar","Unscented, Fresh Linen, Herbal",Yes,10-20%,113.0,More than 4x,No
35-44,Female,Dubai,Other,20000-40000,3-4,Postgraduate,Local Store,Weekly,"Detergent, Cooking Oil, Sanitizer, Hand Wash",100-200,Occasionally,Plastic,3,2,4,Yes,4,3,Yes,5,No,2,Card,Supermarkets,Bring my own,"Surface Cleaner + Air Freshener, Hand Wash + Sanitizer","Fresh Linen, Herbal, Citrus",No,>20%,139.14,Weekly,No
25-34,Female,Dubai,Professional,10000-20000,3-4,Undergraduate,Online,Bi-weekly,"Cooking Oil, Detergent, Hand Wash",100-200,No,Aluminum,5,2,5,Unsure,4,2,Yes,2,No,5,Mobile App,Residential Lobbies,Buy branded bottle once,"Detergent + Fabric Softener, Hand Wash + Sanitizer","Herbal, Fresh Linen, Citrus",Yes,5-10%,70.7,Twice,No
55+,Male,Abu Dhabi,Other,5000-10000,3-4,Doctorate,Hypermarket,Quarterly,"Shampoo, Sanitizer, Hand Wash, Conditioner",200-400,Occasionally,Aluminum,5,3,3,No,2,4,No,5,No,3,Mobile App,Residential Lobbies,Bring my own,"Cooking Oil + Vinegar, Surface Cleaner + Air Freshener","Herbal, Citrus",No,>20%,58.32,Weekly,No
35-44,Male,Dubai,Entrepreneur,5000-10000,3-4,High School,Online,Monthly,"Shampoo, Body Wash, Sanitizer, Cooking Oil, Fabric Softener",100-200,No,Plastic,3,4,5,Yes,3,4,No,3,No,5,Mobile App,Supermarkets,Buy branded bottle once,"Shampoo + Conditioner, Cooking Oil + Vinegar","Unscented, Herbal",No,10-20%,57.22,Weekly,No
35-44,Male,Dubai,Professional,<5000,5+,Undergraduate,Hypermarket,Bi-weekly,"Surface Cleaner, Conditioner, Cooking Oil",>400,Yes,Biodegradable,4,2,3,No,3,2,No,1,No,3,Subscription,Supermarkets,Bring my own,"Hand Wash + Sanitizer, Shampoo + Conditioner, Detergent + Fabric Softener","Citrus, Floral",Yes,10-20%,38.22,Weekly,Yes
35-44,Female,Dubai,Student,5000-10000,3-4,Postgraduate,Local Store,Bi-weekly,"Conditioner, Body Wash, Hand Wash",>400,Occasionally,Biodegradable,5,2,5,No,5,5,Yes,5,No,5,Card,Supermarkets,Bring my own,"Shampoo + Conditioner, Hand Wash + Sanitizer, Cooking Oil + Vinegar","Citrus, Fresh Linen, Herbal",Maybe,<5%,43.74,Twice,No
25-34,Female,Sharjah,Homemaker,5000-10000,1-2,Postgraduate,Online,Bi-weekly,"Body Wash, Conditioner, Hand Wash",<50,Yes,Plastic,4,4,5,Yes,5,4,No,3,No,5,Mobile App,Residential Lobbies,Buy branded bottle once,"Hand Wash + Sanitizer, Cooking Oil + Vinegar","Citrus, Unscented",No,5-10%,49.9,Twice,Yes
25-34,Male,Abu Dhabi,Professional,10000-20000,3-4,High School,Supermarket,Monthly,"Fabric Softener, Detergent, Conditioner, Surface Cleaner",100-200,Occasionally,Plastic,3,3,4,Yes,3,4,No,2,No,3,Mobile App,Residential Lobbies,Use disposable option,"Detergent + Fabric Softener, Hand Wash + Sanitizer, Surface Cleaner + Air Freshener","Fresh Linen, Floral, Herbal",Yes,>20%,72.81,Weekly,No
25-34,Male,Dubai,Student,20000-40000,3-4,Postgraduate,Supermarket,Monthly,"Conditioner, Body Wash, Detergent",<50,Occasionally,No preference,3,3,5,Yes,3,5,Yes,1,Yes,3,Cash,Residential Lobbies,Bring my own,"Detergent + Fabric Softener, Cooking Oil + Vinegar, Hand Wash + Sanitizer","Unscented, Floral",Maybe,5-10%,125.38,Weekly,No
45-54,Female,Abu Dhabi,Student,10000-20000,3-4,High School,Supermarket,Bi-weekly,"Surface Cleaner, Detergent, Fabric Softener, Cooking Oil",50-100,No,Biodegradable,5,3,3,Yes,3,5,Yes,5,No,5,Cash,Malls,Buy branded bottle once,"Cooking Oil + Vinegar, Detergent + Fabric Softener","Unscented, Citrus, Herbal",Maybe,5-10%,87.16,More than 4x,No
18-24,Prefer not to say,Sharjah,Professional,<5000,1-2,Undergraduate,Supermarket,Weekly,"Sanitizer, Cooking Oil, Conditioner, Fabric Softener",100-200,No,Biodegradable,3,3,5,No,2,2,Yes,3,Yes,2,Card,Malls,Use disposable option,"Surface Cleaner + Air Freshener, Hand Wash + Sanitizer, Cooking Oil + Vinegar","Fresh Linen, Floral, Citrus",Maybe,5-10%,46.78,Twice,Yes
18-24,Female,Dubai,Professional,>40000,1-2,Undergraduate,Supermarket,Weekly,"Body Wash, Detergent, Sanitizer, Cooking Oil",>400,No,Plastic,3,2,3,Yes,2,2,Yes,1,Yes,2,Mobile App,Residential Lobbies,Buy branded bottle once,"Shampoo + Conditioner, Surface Cleaner + Air Freshener, Hand Wash + Sanitizer","Unscented, Floral",No,>20%,196.09,More than 4x,No
18-24,Male,Dubai,Entrepreneur,>40000,5+,Undergraduate,Online,Quarterly,"Hand Wash, Shampoo, Surface Cleaner",200-400,Yes,Glass,3,4,3,No,2,2,No,1,No,2,Card,Supermarkets,Buy branded bottle once,"Surface Cleaner + Air Freshener, Shampoo + Conditioner, Hand Wash + Sanitizer","Floral, Unscented, Fresh Linen",Yes,5-10%,201.41,Twice,Yes
18-24,Male,Dubai,Homemaker,20000-40000,3-4,Undergraduate,Online,Bi-weekly,"Fabric Softener, Hand Wash, Conditioner, Shampoo",50-100,Yes,Aluminum,5,4,5,Unsure,2,4,Yes,4,No,2,Subscription,Residential Lobbies,Bring my own,"Detergent + Fabric Softener, Surface Cleaner + Air Freshener, Cooking Oil + Vinegar","Unscented, Floral",Yes,5-10%,128.67,Weekly,No
45-54,Male,Dubai,Student,>40000,5+,Undergraduate,Online,Monthly,"Detergent, Conditioner, Fabric Softener, Sanitizer",<50,No,Plastic,5,2,4,Yes,2,2,Yes,1,Yes,3,Card,Residential Lobbies,Buy branded bottle once,"Cooking Oil + Vinegar, Shampoo + Conditioner","Fresh Linen, Herbal",No,10-20%,206.12,More than 4x,No
35-44,Female,Abu Dhabi,Entrepreneur,10000-20000,3-4,High School,Hypermarket,Weekly,"Hand Wash, Sanitizer, Conditioner, Body Wash",100-200,Occasionally,Glass,5,2,5,Yes,2,4,Yes,3,No,3,Cash,Supermarkets,Bring my own,"Cooking Oil + Vinegar, Detergent + Fabric Softener, Hand Wash + Sanitizer","Herbal, Floral, Unscented",Maybe,10-20%,92.15,Weekly,No
25-34,Male,Dubai,Student,>40000,3-4,High School,Supermarket,Monthly,"Hand Wash, Conditioner, Shampoo",100-200,No,Aluminum,3,2,5,No,5,3,Yes,2,No,2,Card,Petrol Stations,Buy branded bottle once,"Cooking Oil + Vinegar, Surface Cleaner + Air Freshener","Herbal, Floral",No,10-20%,198.92,Twice,Yes
18-24,Female,Abu Dhabi,Homemaker,<5000,3-4,Undergraduate,Supermarket,Quarterly,"Cooking Oil, Fabric Softener, Sanitizer",50-100,Yes,Plastic,4,5,4,No,4,5,No,4,No,4,Mobile App,Residential Lobbies,Buy branded bottle once,"Detergent + Fabric Softener, Surface Cleaner + Air Freshener","Floral, Unscented",Maybe,10-20%,21.03,Twice,No
25-34,Male,Sharjah,Homemaker,5000-10000,5+,Postgraduate,Supermarket,Monthly,"Surface Cleaner, Detergent, Body Wash",200-400,No,Biodegradable,3,4,3,No,5,5,Yes,3,No,4,Subscription,Malls,Buy branded bottle once,"Cooking Oil + Vinegar, Shampoo + Conditioner","Unscented, Herbal",Yes,>20%,63.76,Weekly,Yes
25-34,Female,Dubai,Professional,5000-10000,3-4,Postgraduate,Online,Weekly,"Conditioner, Body Wash, Hand Wash, Sanitizer",>400,Occasionally,Biodegradable,5,4,5,Yes,4,3,No,3,Yes,4,Cash,Residential Lobbies,Bring my own,"Surface Cleaner + Air Freshener, Shampoo + Conditioner","Floral, Herbal, Unscented",Yes,>20%,53.03,Weekly,No
25-34,Female,Abu Dhabi,Entrepreneur,5000-10000,3-4,High School,Supermarket,Monthly,"Detergent, Fabric Softener, Cooking Oil",100-200,No,Plastic,4,4,4,Yes,5,2,Yes,3,No,5,Card,Supermarkets,Use disposable option,"Cooking Oil + Vinegar, Hand Wash + Sanitizer, Detergent + Fabric Softener","Fresh Linen, Unscented, Citrus",Maybe,>20%,55.4,More than 4x,No
25-34,Female,Dubai,Professional,<5000,1-2,Undergraduate,Supermarket,Monthly,"Conditioner, Shampoo, Cooking Oil, Sanitizer, Detergent",200-400,No,Biodegradable,4,3,4,Yes,5,4,Yes,5,No,2,Mobile App,Supermarkets,Buy branded bottle once,"Shampoo + Conditioner, Hand Wash + Sanitizer","Herbal, Fresh Linen, Unscented",Maybe,5-10%,24.27,Weekly,No
25-34,Male,Others,Professional,10000-20000,3-4,High School,Online,Bi-weekly,"Shampoo, Hand Wash, Cooking Oil, Body Wash, Detergent",100-200,Occasionally,Plastic,5,2,3,Unsure,2,4,Yes,5,Yes,5,Card,Malls,Use disposable option,"Cooking Oil + Vinegar, Detergent + Fabric Softener, Surface Cleaner + Air Freshener","Floral, Herbal, Unscented",Maybe,>20%,84.27,More than 4x,Yes
35-44,Male,Abu Dhabi,Homemaker,20000-40000,3-4,High School,Hypermarket,Monthly,"Surface Cleaner, Cooking Oil, Conditioner, Hand Wash",200-400,No,Biodegradable,4,2,4,Yes,2,4,No,2,Yes,3,Mobile App,Supermarkets,Buy branded bottle once,"Cooking Oil + Vinegar, Shampoo + Conditioner","Herbal, Fresh Linen, Citrus",Maybe,5-10%,111.35,Weekly,No
35-44,Male,Sharjah,Professional,10000-20000,3-4,Postgraduate,Supermarket,Monthly,"Sanitizer, Fabric Softener, Hand Wash, Conditioner, Cooking Oil",100-200,No,Plastic,4,2,3,Unsure,4,5,Yes,3,No,3,Card,Supermarkets,Bring my own,"Shampoo + Conditioner, Surface Cleaner + Air Freshener, Cooking Oil + Vinegar","Floral, Unscented, Citrus",Yes,5-10%,70.42,More than 4x,No
18-24,Female,Abu Dhabi,Professional,<5000,1-2,Undergraduate,Hypermarket,Monthly,"Cooking Oil, Surface Cleaner, Fabric Softener",50-100,Occasionally,Plastic,5,5,5,Yes,4,2,Yes,5,No,4,Card,Petrol Stations,Buy branded bottle once,"Hand Wash + Sanitizer, Cooking Oil + Vinegar, Shampoo + Conditioner","Unscented, Floral",No,>20%,10.0,Once,No
25-34,Female,Dubai,Professional,20000-40000,3-4,High School,Hypermarket,Monthly,"Detergent, Fabric Softener, Body Wash, Hand Wash, Conditioner",>400,Yes,Aluminum,4,4,4,Unsure,2,4,Yes,5,No,4,Mobile App,Residential Lobbies,Buy branded bottle once,"Hand Wash + Sanitizer, Surface Cleaner + Air Freshener, Cooking Oil + Vinegar","Floral, Fresh Linen",Maybe,>20%,113.72,More than 4x,No
35-44,Female,Abu Dhabi,Homemaker,10000-20000,1-2,Undergraduate,Hypermarket,Weekly,"Cooking Oil, Shampoo, Fabric Softener",100-200,Occasionally,Glass,4,2,5,Yes,5,4,Yes,5,Yes,3,Card,Supermarkets,Bring my own,"Hand Wash + Sanitizer, Surface Cleaner + Air Freshener, Shampoo + Conditioner","Citrus, Floral",No,10-20%,84.32,Twice,No
35-44,Female,Others,Professional,5000-10000,1-2,High School,Local Store,Bi-weekly,"Body Wash, Sanitizer, Shampoo",200-400,Yes,No preference,5,5,4,Yes,4,4,No,2,No,4,Mobile App,Supermarkets,Buy branded bottle once,"Detergent + Fabric Softener, Cooking Oil + Vinegar, Shampoo + Conditioner","Citrus, Floral",Yes,>20%,50.46,More than 4x,Yes
45-54,Female,Abu Dhabi,Student,10000-20000,3-4,Postgraduate,Supermarket,Bi-weekly,"Sanitizer, Fabric Softener, Conditioner, Body Wash, Surface Cleaner",100-200,Yes,Glass,4,2,4,Yes,3,3,Yes,2,No,4,Card,Residential Lobbies,Buy branded bottle once,"Hand Wash + Sanitizer, Detergent + Fabric Softener, Cooking Oil + Vinegar","Floral, Unscented, Fresh Linen",Yes,>20%,65.76,Once,Yes
35-44,Male,Sharjah,Entrepreneur,5000-10000,5+,Doctorate,Supermarket,Quarterly,"Detergent, Sanitizer, Fabric Softener, Hand Wash",<50,Occasionally,Plastic,4,3,5,Yes,3,4,Yes,3,Yes,3,Card,Supermarkets,Buy branded bottle once,"Hand Wash + Sanitizer, Surface Cleaner + Air Freshener, Detergent + Fabric Softener","Floral, Citrus",No,10-20%,64.29,Weekly,No
25-34,Female,Ajman,Homemaker,5000-10000,3-4,High School,Local Store,Monthly,"Conditioner, Fabric Softener, Hand Wash, Sanitizer, Cooking Oil",50-100,Yes,Glass,4,4,4,Yes,3,3,Yes,4,No,5,Mobile App,Supermarkets,Bring my own,"Surface Cleaner + Air Freshener, Cooking Oil + Vinegar","Citrus, Unscented",Yes,10-20%,51.39,Weekly,Yes
18-24,Male,Dubai,Student,>40000,1-2,Undergraduate,Online,Monthly,"Sanitizer, Detergent, Cooking Oil",100-200,Occasionally,Glass,4,5,5,Yes,4,4,No,3,Yes,4,Card,Residential Lobbies,Buy branded bottle once,"Cooking Oil + Vinegar, Detergent + Fabric Softener","Citrus, Floral",Maybe,>20%,216.94,More than 4x,No
35-44,Male,Dubai,Professional,5000-10000,1-2,Postgraduate,Online,Bi-weekly,"Conditioner, Fabric Softener, Body Wash, Sanitizer, Surface Cleaner",100-200,Occasionally,Plastic,5,2,5,Yes,2,4,Yes,5,No,5,Mobile App,Supermarkets,Bring my own,"Surface Cleaner + Air Freshener, Cooking Oil + Vinegar, Detergent + Fabric Softener","Herbal, Citrus",Yes,5-10%,58.57,Weekly,No
18-24,Female,Abu Dhabi,Student,10000-20000,3-4,Postgraduate,Hypermarket,Weekly,"Surface Cleaner, Detergent, Hand Wash",50-100,Occasionally,Biodegradable,3,4,3,Yes,2,4,No,5,No,4,Mobile App,Malls,Bring my own,"Surface Cleaner + Air Freshener, Detergent + Fabric Softener","Unscented, Fresh Linen, Citrus",Yes,5-10%,76.88,Twice,Yes
35-44,Male,Dubai,Professional,20000-40000,3-4,Undergraduate,Hypermarket,Monthly,"Fabric Softener, Cooking Oil, Surface Cleaner, Conditioner, Sanitizer",100-200,Occasionally,Biodegradable,3,5,5,No,2,3,No,1,No,2,Mobile App,Malls,Bring my own,"Cooking Oil + Vinegar, Shampoo + Conditioner, Surface Cleaner + Air Freshener","Fresh Linen, Unscented, Floral",Maybe,>20%,138.35,Weekly,Yes
55+,Male,Sharjah,Professional,20000-40000,5+,High School,Local Store,Bi-weekly,"Conditioner, Cooking Oil, Surface Cleaner, Detergent",100-200,Yes,Biodegradable,4,4,3,Yes,4,4,Yes,3,Yes,5,Mobile App,Supermarkets,Bring my own,"Cooking Oil + Vinegar, Detergent + Fabric Softener, Surface Cleaner + Air Freshener","Herbal, Fresh Linen, Citrus",Yes,5-10%,116.25,Twice,Yes
35-44,Female,Ajman,Entrepreneur,<5000,3-4,High School,Other,Bi-weekly,"Conditioner, Fabric Softener, Surface Cleaner, Detergent",200-400,Occasionally,No preference,5,4,5,Yes,4,2,Yes,5,No,5,Mobile App,Supermarkets,Bring my own,"Shampoo + Conditioner, Hand Wash + Sanitizer, Cooking Oil + Vinegar","Floral, Citrus, Unscented",Maybe,5-10%,14.05,Twice,Yes
25-34,Male,Dubai,Entrepreneur,<5000,3-4,Undergraduate,Hypermarket,Monthly,"Cooking Oil, Body Wash, Conditioner, Hand Wash",100-200,Yes,Plastic,5,3,4,No,3,4,Yes,5,No,4,Card,Residential Lobbies,Bring my own,"Cooking Oil + Vinegar, Surface Cleaner + Air Freshener, Shampoo + Conditioner","Herbal, Citrus",Yes,5-10%,40.99,Twice,Yes
35-44,Female,Dubai,Professional,<5000,3-4,Undergraduate,Supermarket,Weekly,"Surface Cleaner, Shampoo, Hand Wash, Conditioner",>400,No,Biodegradable,4,4,5,Yes,4,3,No,4,No,5,Cash,Residential Lobbies,Bring my own,"Surface Cleaner + Air Freshener, Detergent + Fabric Softener, Shampoo + Conditioner","Floral, Citrus, Unscented",Maybe,10-20%,31.05,Twice,No
25-34,Male,Sharjah,Professional,10000-20000,3-4,High School,Local Store,Bi-weekly,"Body Wash, Sanitizer, Hand Wash, Fabric Softener, Conditioner",100-200,Occasionally,Glass,3,5,4,Unsure,3,3,Yes,1,Yes,2,Subscription,Supermarkets,Use disposable option,"Surface Cleaner + Air Freshener, Cooking Oil + Vinegar","Floral, Citrus",Yes,>20%,88.94,Weekly,Yes
35-44,Male,Dubai,Homemaker,10000-20000,3-4,Undergraduate,Supermarket,Bi-weekly,"Hand Wash, Conditioner, Body Wash, Shampoo, Detergent",100-200,Yes,Biodegradable,4,4,3,Yes,3,2,Yes,3,Yes,3,Card,Supermarkets,Buy branded bottle once,"Cooking Oil + Vinegar, Hand Wash + Sanitizer","Citrus, Unscented",Yes,10-20%,83.81,More than 4x,Yes
55+,Male,Sharjah,Professional,<5000,5+,High School,Supermarket,Weekly,"Body Wash, Conditioner, Hand Wash, Fabric Softener",50-100,No,Glass,5,5,4,Yes,2,5,No,2,No,2,Mobile App,Petrol Stations,Buy branded bottle once,"Surface Cleaner + Air Freshener, Hand Wash + Sanitizer, Cooking Oil + Vinegar","Unscented, Herbal, Fresh Linen",Maybe,10-20%,41.43,More than 4x,Yes
25-34,Male,Dubai,Other,>40000,3-4,Postgraduate,Local Store,Quarterly,"Body Wash, Cooking Oil, Surface Cleaner, Fabric Softener, Shampoo",50-100,No,No preference,5,4,5,Yes,4,2,Yes,3,No,3,Card,Supermarkets,Use disposable option,"Surface Cleaner + Air Freshener, Shampoo + Conditioner, Cooking Oil + Vinegar","Fresh Linen, Unscented, Floral",Maybe,>20%,194.88,Once,Yes
55+,Female,Abu Dhabi,Professional,10000-20000,3-4,Undergraduate,Supermarket,Bi-weekly,"Body Wash, Detergent, Surface Cleaner, Sanitizer",<50,No,Biodegradable,3,2,4,Yes,2,2,Yes,3,Yes,2,Card,Petrol Stations,Use disposable option,"Shampoo + Conditioner, Cooking Oil + Vinegar, Detergent + Fabric Softener","Herbal, Floral",Yes,>20%,73.11,Once,Yes
55+,Male,Dubai,Student,5000-10000,3-4,High School,Supermarket,Weekly,"Shampoo, Hand Wash, Body Wash",100-200,Occasionally,No preference,5,3,3,Yes,2,3,Yes,4,No,2,Card,Supermarkets,Use disposable option,"Cooking Oil + Vinegar, Detergent + Fabric Softener","Herbal, Unscented, Citrus",Maybe,10-20%,48.01,Twice,No
